id,name,category,value
1,Item 1,Category 1,10
2,Item 2,Category 2,20
3,Item 3,Category 3,30
4,Item 4,Category 4,40
5,Item 5,Category 0,50
6,Item 6,Category 1,60
7,Item 7,Category 2,70
8,Item 8,Category 3,80
9,Item 9,Category 4,90
10,Item 10,Category 0,100
11,Item 11,Category 1,110
12,Item 12,Category 2,120
13,Item 13,Category 3,130
14,Item 14,Category 4,140
15,Item 15,Category 0,150
16,Item 16,Category 1,160
17,Item 17,Category 2,170
18,Item 18,Category 3,180
19,Item 19,Category 4,190
20,Item 20,Category 0,200
21,Item 21,Category 1,210
22,Item 22,Category 2,220
23,Item 23,Category 3,230
24,Item 24,Category 4,240
25,Item 25,Category 0,250
26,Item 26,Category 1,260
27,Item 27,Category 2,270
28,Item 28,Category 3,280
29,Item 29,Category 4,290
30,Item 30,Category 0,300
31,Item 31,Category 1,310
32,Item 32,Category 2,320
33,Item 33,Category 3,330
34,Item 34,Category 4,340
35,Item 35,Category 0,350
36,Item 36,Category 1,360
37,Item 37,Category 2,370
38,Item 38,Category 3,380
39,Item 39,Category 4,390
40,Item 40,Category 0,400
41,Item 41,Category 1,410
42,Item 42,Category 2,420
43,Item 43,Category 3,430
44,Item 44,Category 4,440
45,Item 45,Category 0,450
46,Item 46,Category 1,460
47,Item 47,Category 2,470
48,Item 48,Category 3,480
49,Item 49,Category 4,490
50,Item 50,Category 0,500
51,Item 51,Category 1,510
52,Item 52,Category 2,520
53,Item 53,Category 3,530
54,Item 54,Category 4,540
55,Item 55,Category 0,550
56,Item 56,Category 1,560
57,Item 57,Category 2,570
58,Item 58,Category 3,580
59,Item 59,Category 4,590
60,Item 60,Category 0,600
61,Item 61,Category 1,610
62,Item 62,Category 2,620
63,Item 63,Category 3,630
64,Item 64,Category 4,640
65,Item 65,Category 0,650
66,Item 66,Category 1,660
67,Item 67,Category 2,670
68,Item 68,Category 3,680
69,Item 69,Category 4,690
70,Item 70,Category 0,700
71,Item 71,Category 1,710
72,Item 72,Category 2,720
73,Item 73,Category 3,730
74,Item 74,Category 4,740
75,Item 75,Category 0,750
76,Item 76,Category 1,760
77,Item 77,Category 2,770
